model,mae,rmse,mape
CatBoost (log target),117.12777238634166,636.2703127333995,5.176559180349872
CatBoost,118.17774855925786,636.3351702019855,5.427796576419425
"CatBoost (log target, no haversine)",119.13927456765637,636.8337866601124,5.236246807889007
HistGradientBoosting (log target),124.99255831185307,637.5965029935743,5.389889247972046
HistGradientBoosting,133.6308526483411,634.5584002135117,6.086527394596506
Linear (Ridge),175.01890104688897,648.3973498654364,9.884047948610926
Baseline: distance x rate/mi,256.9529387982172,684.2479113135149,11.631462355075119
Baseline: median rate,1148.923725716686,1569.4241791607556,70.14628198724384
